;additionalInfos;authorFirstname;authorLastname;correctionsAfter1938;firstEditionPublicationPlace;firstEditionPublicationYear;firstEditionPublisher;ocrResult;pageNumberInOCRDocument;secondEditionPublicationPlace;secondEditionPublicationYear;secondEditionPublisher;ssFlag;title
1435;;Wilhelm;Frank;;Kevelaer;1935;Butzon & Bercker;Frank, Wilhelm: Beni Bradl. Kevelaer: Butzon & Bercker 1935.;40;Kevelaer;1935;Butzon & Bercker;False;Beni Bradl
1436;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;;;;Luzern;1939;Rex-Verl.;Die Sonntagschristenlehren für Schulentlassene. T. 2: Christus, Kirche. —	Luzern: Rex-Verl. [1939].;10;Luzern;1939;Rex-Verl.;True;"Die Sonntagschristenlehren für Schulentlassene. T. 2: Christus; Kirche"
1437;;B.;Minlos;;Moskau;1937;Verlagsgen. ausländ. Arbeiter;Minlos, B.: Spaniens Bauern im Kampf um Boden und Freiheit. Moskau: Verlagsgen. ausländ. Arbeiter 1937.;96;Moskau;1937;Verlagsgen. ausländ. Arbeiter;True;Spaniens Bauern im Kampf um Boden und Freiheit
1438;;Regine;Deutsch;;Gotha;1928;Perthes;Deutsch, Regine: Parlamentarische Frauenarbeit. Gotha: Perthes 1928.;25;Gotha;1928;Perthes;False;Parlamentarische Frauenarbeit
1439;;Martina;Haboeck;;Wien;1937;Fiba-Verl.;Haboeck, Martina: Austria. Wien: Fiba-Verl. 1937.;52;Wien;1937;Fiba-Verl.;False;Austria
1440;;Julius;Epstein;;;;;Epstein, Julius: Sämtliche Schriften.;32;;;;False;Sämtliche Schriften
1441;;;;; Wien; 1929;Verl. f. Kulturforschung;Sittengeschichte des Geheimen und Verbotenen. Wien: Verl. f. Kulturforschung 1929.;137; Wien; 1929;Verl. f. Kulturforschung;False;Sittengeschichte des Geheimen und Verbotenen
1442;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Johannes;Ude;;Graz u. Leipzig;1932;Stocker;Ude, Johannes: Die Lösung der sozialen Frage durch Christus.— Graz u. Leipzig: Stocker [1932] = Ude: Reden und Schriften.;19;Graz u. Leipzig;1932;Stocker;False;Die Lösung der sozialen Frage durch Christus. = Ude: Reden und Schriften.
1443;;Paul;Fischer;;Berlin;1893;Vorwärts;Fischer, Paul: Die Marxsche Werttheorie. Berlin: Vorwärts 1893.;38;Berlin;1893;Vorwärts;False;Die Marxsche Werttheorie
1444;;Erich;Knauf;;Berlin;1928;Bücherilde Gutenberg;Knauf, Erich: Empörung und Gestaltung. Berlin: Bücherilde Gutenberg 1928.;73;Berlin;1928;Bücherilde Gutenberg;False;Empörung und Gestaltung
1445;;Robert;Dencker;;Leipzig;1898;Spohr;Dencker, Robert: Das Kind und die geschlechtliche Entwicklung. Leipzig: Spohr 1898.;24;Leipzig;1898;Spohr;False;Das Kind und die geschlechtliche Entwicklung
1446;;P.;Liesenfeld;;Köln;1933;Weiler & Co.;Liesenfeld, P.: Die Ideal-Ehe. Wegweiser ... nach Knaus-Ogino. Nebst Konzeptor-Universal-Empfängniskalender. Köln: Weiler & Co. 1933.;0;Köln;1933;Weiler & Co.;False;Die Ideal-Ehe. Wegweiser ... nach Knaus-Ogino. Nebst Konzeptor-Universal-Empfängniskalender
1447;;Ramón Julio;Sender;;Berlin;1931;Der Bücherkreis;Sender, Ramón Julio: Imán. Kampf um Marokko. Berlin: Der Bücherkreis 1931.;135;Berlin;1931;Der Bücherkreis;False;Imán. Kampf um Marokko
1448;;;Sirius (Pseud.);;Wien; 1936;Manz;Sirius (Pseud.): Empor zur Vernunft. Wien: Manz 1936.;137;Wien; 1936;Manz;False;Empor zur Vernunft
1449;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Arthur;Curti;;Zürich;1941;Buchdr. Berichtshaus;"Curti, Arthur: Jahre der Jugend, Jahre der Reife. — Zürich 1941: Buchdr. Berichtshaus.

[Schutzumschlagt.:] Curti: Aus dem Leben eines Rechtsanwalts.

";4;Zürich;1941;Buchdr. Berichtshaus;True;Jahre der Jugend, Jahre der Reife. [Schutzumschlagt.:] Curti: Aus dem Leben eines Rechtsanwalts.
1450;;Robert H.;Brotz;;Zeulenroda;1932;Sporn;Brotz, Robert H.: Die Graphologie als Hilfsmittel zur Krankheitserkennung. Zeulenroda: Sporn 1932.;17;Zeulenroda;1932;Sporn;False;Die Graphologie als Hilfsmittel zur Krankheitserkennung
1451;;;Unus (Pseud);;Prag; 1933;Solidarität;Unus (Pseud): Der Kampf eines Unpolitischen gegen die braune Pest u. ihren Erreger. Prag: Solidarität 1933.;151;Prag; 1933;Solidarität;False;Der Kampf eines Unpolitischen gegen die braune Pest u. ihren Erreger
1452;;;;; Zürich; 1933;Mopr-Verl.;Solidarität, Die internationale ~ mit dem deutschen Proletariat. Die Hilfsaktion der JRH. Zürich: Mopr-Verl. 1933.;139; Zürich; 1933;Mopr-Verl.;True;Solidarität, Die internationale ~ mit dem deutschen Proletariat. Die Hilfsaktion der JRH
1453;Sämtliche Ausgaben;Karl;Stratil;;;;;Stratil, Karl: Die Memoiren der Fanny Hill. Sämtliche Ausgaben.;144;;;;False;Die Memoiren der Fanny Hill
1454;;Helene;Beyer;;Berlin;1932;Verl. »Öffentl. Leben«;Beyer, Helene: Führt Geldreform aus Kapitalismus und Krise? Berlin: Verl. »Öffentl. Leben« 1932.;11;Berlin;1932;Verl. »Öffentl. Leben«;False;Führt Geldreform aus Kapitalismus und Krise?
1455;;Alexander A.;Isbach;;Hamburg;1931;Hoym;Isbach, Alexander A.: Einer von Fünfundzwanzigtausend. Hamburg: Hoym 1931. — Moskau: Verlagsgen. ausländ. Arbeiter 1931.;66;Hamburg;1931;Hoym;True;Einer von Fünfundzwanzigtausend
1456;;Wilhelm;Lamszus;;Leipzig;1924;Oldenburg;Lamszus, Wilhelm: Der Genius am Galgen. Leipzig: Oldenburg 1924.;81;Leipzig;1924;Oldenburg;False;Der Genius am Galgen
1457;;Erwin;Barth;;Berlin;1919;Der Firn;Barth, Erwin: Marxismus und Bolschewismus. Berlin: Der Firn 1919.;7;Berlin;1919;Der Firn;False;Marxismus und Bolschewismus
1458;;;Dessauer, Friedrich, u. Franz C. Fetzer;;Frankfurt a/M.; 1932;Carolus-Druckerei;Dessauer, Friedrich, u. Franz C. Fetzer: Krisenwende. Frankfurt a/M.: Carolus-Druckerei 1932.;24;Frankfurt a/M.; 1932;Carolus-Druckerei;False;Krisenwende
1459;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Karel;Čapek;;Wien;1937;Passer;Čapek, Karel: Der Krieg mit den Molchen. — Wien: Passer (1937).;6;Wien;1937;Passer;False;Der Krieg mit den Molchen
1460;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Willy;Stokar;;Elgg;1940;Volksverl.;Stokar, Willy: Die Schweiz im Weltgewitter. — Elgg: Volksverl. (1940).;18;Elgg;1940;Volksverl.;True;Die Schweiz im Weltgewitter
1461;;Heinz;Tovote;;Berlin;1908;Fontane;Tovote, Heinz: Nicht doch! Berlin: Fontane 1908.;149;Berlin;1908;Fontane;False;Nicht doch!
1462;;Hans;Tischert;;Berlin;1932 u 193;Selbstverl.;Tischert, Hans: Stätten deutscher Arbeit. Bd 4 u. 7. Berlin: Selbstverl. 1932 u. 1934.;0;Berlin;1932 u 193;Selbstverl.;False;Stätten deutscher Arbeit. Bd 4 u. 7.
1463;;Aleksandr S.;Schapowalow;;Berlin;1932;Mopr-Verl.;Schapowalow, Aleksandr S.: Mit Lenin nach Sibirien. Berlin: Mopr-Verl. 1932.;126;Berlin;1932;Mopr-Verl.;False;Mit Lenin nach Sibirien
1464;;;;; Paris; 1934;Ed. du Garrefour;Braunbuch II. Dimitroff contra Goering. Paris: Ed. du Garrefour 1934.;16; Paris; 1934;Ed. du Garrefour;True;Braunbuch II. Dimitroff contra Goering
1465;;Erwin;Brauer;;Berlin;1930;Internat. Arbeiter-Verl.;Brauer, Erwin: Der Ruhraufstand von 1920. Berlin: Internat. Arbeiter-Verl. 1930.;15;Berlin;1930;Internat. Arbeiter-Verl.;False;Der Ruhraufstand von 1920
1466;;Rudolf;Breitscheid;;;;;Breitscheid, Rudolf: Sämtliche Schriften.;16;;;;False;Sämtliche Schriften
1467;;Hans;Muehle;;Gotha;1930;Klotz;Muehle, Hans: Das proletarische Schicksal. Gotha: Klotz 1930.;98;Gotha;1930;Klotz;False;Das proletarische Schicksal
1468;;;;; Reutlingen; 1932;Storch-Verl.;Paradies, Das wiedergefundene ~. Reutlingen: Storch-Verl. 1932.;107; Reutlingen; 1932;Storch-Verl.;False;Paradies, Das wiedergefundene ~
1469;;Fritz;Giese;;Wien;1924;Internat. psychoanalyt. Verl.;Giese, Fritz: Psychoanalytische Psychotechnik. Wien: Internat. psychoanalyt. Verl. 1924.;46;Wien;1924;Internat. psychoanalyt. Verl.;False;Psychoanalytische Psychotechnik
1470;;Paul;Hain;;Heidenau;1934;Freya;Hain, Paul: Ein Hitler-Junge erlebt! Heidenau: Freya 1934.;53;Heidenau;1934;Freya;False;Ein Hitler-Junge erlebt!
1471;;Fritz;Backhaus;;Berlin;1937;Dt. Betriebswirte-Verl.;Backhaus, Fritz: Exportförderung u. Umsatzsteuer. Berlin: Dt. Betriebswirte-Verl. 1937.;6;Berlin;1937;Dt. Betriebswirte-Verl.;False;Exportförderung u. Umsatzsteuer
1472;;Max;Schneider;;Berlin;1927;Schultz-Verl.;Schneider, Max: Glück. Berlin: Schultz-Verl. 1927.;130;Berlin;1927;Schultz-Verl.;False;Glück
1473;;Karl;Tschuppik;;;;;Tschuppik, Karl: Sämtliche Schriften.;150;;;;False;Sämtliche Schriften
1474;;;Walter;;Strassburg; 1938;Ed. Prométhée;Walter: Kriegsschauplatz Innerdeutschland. Strassburg: Ed. Prométhée 1938.;156;Strassburg; 1938;Ed. Prométhée;True;Kriegsschauplatz Innerdeutschland
1475;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;;Koplenig, Johann [Vorw.];;;;;Koplenig, Johann [Vorw.] s. Frage, Die nationale, und Oesterreichs Kampf um seine Unabhängigkeit.;8;;;;False;s. Frage, Die nationale, und Oesterreichs Kampf um seine Unabhängigkeit
1476;;Adelheid;Popp;;;;;Popp, Adelheid: Sämtliche Schriften.;112;;;;False;Sämtliche Schriften
1477;;Max;Seber;;Leipzig;1923;Oldenburg;Seber, Max: Völkerkampf und Klassenkampf. Leipzig: Oldenburg 1923.;134;Leipzig;1923;Oldenburg;False;Völkerkampf und Klassenkampf
1478;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Irma;Singer;;;;;Singer, Irma: sämtliche Schriften.;17;;;;True;sämtliche Schriften
1479;;Albert;Schaeffle;;Tübingen;1883;Laupp;Schaeffle, Albert: Die Aussichtslosigkeit der Sozialdemokratie. Tübingen: Laupp 1883.;126;Tübingen;1883;Laupp;False;Die Aussichtslosigkeit der Sozialdemokratie
1480;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Hubertus Maria Friedrich Graf v.;Loewenstein-Scharfeneck;;;;;Loewenstein-Scharfeneck, Hubertus Maria Friedrich Graf v., geb. 14. 10. 1906: sämtliche Schriften.;11;;;;True;sämtliche Schriften
1481;;;;; Berlin; 1933;City-Druckerei;Kampf, Der ~ für den Sturz der faschistischen Regierung Hitler-Papen-Hugenberg. Berlin: City-Druckerei 1933.;68; Berlin; 1933;City-Druckerei;False;Kampf, Der ~ für den Sturz der faschistischen Regierung Hitler-Papen-Hugenberg
1482;;;Feiner, Joseph, Elias Gut und Theodor Rothschild;;Leipzig; 1936;Engel;Feiner, Joseph, Elias Gut und Theodor Rothschild: Not und Hoffnung. Gedichtsammlung. Leipzig: Engel 1936.;36;Leipzig; 1936;Engel;False;Not und Hoffnung. Gedichtsammlung
1483;;Wilhelm;Eggert;;Berlin;1927;Allg. dt. Gewerkschaftsbund;Eggert, Wilhelm: Rationalisierung u. Arbeiterschaft. Berlin: Allg. dt. Gewerkschaftsbund 1927.;29;Berlin;1927;Allg. dt. Gewerkschaftsbund;False;Rationalisierung u. Arbeiterschaft
1484;Sämtliche Ausgaben;Bernhard;Handmann;;;;;Handmann, Bernhard: Der Diktator. Sämtliche Ausgaben.;53;;;;False;Der Diktator
1485;;Martin Ludwig;Schlesinger;;Breslau;1926;Hirt;Schlesinger, Martin Ludwig: Das bolschewistische Russland. Breslau: Hirt 1926.;128;Breslau;1926;Hirt;False;Das bolschewistische Russland
1486;;Oskar;Edel;;;;;Edel, Oskar: Sämtliche Schriften.;29;;;;False;Sämtliche Schriften
1487;;Hermann;Kesser;;Frankfurt;1926;Rütten & Loening;Kesser, Hermann: Lukas Langkofler. Frankfurt: Rütten & Loening 1926.;71;Frankfurt;1926;Rütten & Loening;False;Lukas Langkofler
1488;;Karl Max;Lichnowsky;;Dresden;1927;Reissner;Lichnowsky, Karl Max: Auf dem Wege zum Abgrund. Dresden: Reissner 1927.;85;Dresden;1927;Reissner;False;Auf dem Wege zum Abgrund
1489;;Theodor;Reik;;Wien;1929;Internat. Psychoanalyt. Verl.;Reik, Theodor: Der Schrecken und andere psychoanalyt. Studien. Wien: Internat. Psychoanalyt. Verl. 1929.;116;Wien;1929;Internat. Psychoanalyt. Verl.;False;Der Schrecken und andere psychoanalyt. Studien
1490;;Alfred;Wolf;;Wissenschaft vereinbar? Leipzig;1935;Seifert;Wolf, Alfred: Sind Christentum u. Wissenschaft vereinbar? Leipzig: Seifert 1935.;164;Wissenschaft vereinbar? Leipzig;1935;Seifert;False;Sind Christentum u
1491;;W.;Tschemodanow;;Moskau;1936;Verlagsgen. ausländ. Arbeiter;Tschemodanow, W.: Die junge Generation des Sozialismus. Moskau: Verlagsgen. ausländ. Arbeiter 1936.;149;Moskau;1936;Verlagsgen. ausländ. Arbeiter;True;Die junge Generation des Sozialismus
1492;;;Hartung;;Leipzig; 1910;Spohr;Hartung: Homosexualität und Frauenemanzipation. Leipzig: Spohr 1910.;54;Leipzig; 1910;Spohr;False;Homosexualität und Frauenemanzipation
1493;;Pierre;Claude;;Zürich;1935;Oprecht & Helbling;Claude, Pierre: Friede am Rhein. Zürich: Oprecht & Helbling 1935.;21;Zürich;1935;Oprecht & Helbling;True;Friede am Rhein
1494;;;;;Wien;1920;;Memoiren, Aus den ~ eines Frauenarztes. Wien 1920.;94;Wien;1920;;False;Memoiren, Aus den ~ eines Frauenarztes.
1495;;Karl Anton;Rohan;;Karlsruhe;1927;Braun;Rohan, Karl Anton: Moskau. Karlsruhe: Braun 1927.;121;Karlsruhe;1927;Braun;False;Moskau
1496;;Alexander;Herzen;;Basel;1931;Kompass-Verl.;Herzen, Alexander: Erinnerungen. Basel: Kompass-Verl. 1931.;58;Basel;1931;Kompass-Verl.;True;Erinnerungen
1497;;Madeleine;Migeon;;Antwerpen;1933;Moorthamers Frères;Migeon, Madeleine: Sous la terreur brune. Antwerpen: Moorthamers Frères 1933.;96;Antwerpen;1933;Moorthamers Frères;True;Sous la terreur brune
1498;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;Siegfried Martin;Winter;"zur ""Jahresliste 1939 des schädlichen und unerwünschten Schrifttums"": S. 11 ist zu streichen: Winter, Siegfried Martin: Das Leben erobert die Erde. - Münschen: Rheinhardt 1939.

In: Jahresliste 1940 des schädlichen und unerwünschten Schrifttums. S. 22";München;1939;Reinhardt;Winter, Siegfried Martin: Das Leben erobert die Erde. — München: Reinhardt 1939.;11;München;1939;Reinhardt;False;Das Leben erobert die Erde
1499;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Gustav;Lehnert;;;;;Lehnert, Gustav, geb. 6. 7. 1896: sämtliche Schriften.;10;;;;True;sämtliche Schriften
1500;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Friedrich;Walter;;Amsterdam;1939;de Lange;Walter, Friedrich: Kassandra. Roman. — Amsterdam: de Lange 1939. ;19;Amsterdam;1939;de Lange;True;Kassandra. Roman
1501;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;;Wibich, W[ilhelm, d. i. Heinrich Schwarz];;Gebr. Hug;[1938]-1939;Zürich u. Leipzig;Wibich, W[ilhelm, d. i. Heinrich Schwarz]: Praktische Einführung in Richard Wagners Tetralogie »Der Ring des Nibelungen«,  zugleich Ver- such einer zeitgemässen Auslegung. T. 1. 2. — Zürich u. Leipzig: Gebr. Hug [1938]-1939.;10;Gebr. Hug;[1938]-1939;Zürich u. Leipzig;True;Praktische Einführung in Richard Wagners Tetralogie »Der Ring des Nibelungen«,  zugleich Versuch einer zeitgemässen Auslegung. T. 1. 2.
1502;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Erhard, Dr.;Breitner;;;;;Breitner, Erhard, Dr.: sämtliche Schriften.;6;;;;True;sämtliche Schriften
1503;;Emilian;Lilek;;Celje;1935;Selbstverl.;Lilek, Emilian: Das österreichische Problem und der Hitlerismus. Celje: Selbstverl. 1935.;86;Celje;1935;Selbstverl.;True;Das österreichische Problem und der Hitlerismus
1504;;Egon;Branden;;Diessen;1936;Huber;Branden, Egon: Tierkreiszeichen und Charakter. Diessen: Huber 1936.;15;Diessen;1936;Huber;False;Tierkreiszeichen und Charakter
1505;;Erich;Ludendorff;;München;1933;Ludendorff-Verl.;Ludendorff, Erich: Der Bauer stirbt — mit ihm das Volk! München: Ludendorff-Verl. 1933.;88;München;1933;Ludendorff-Verl.;False;Der Bauer stirbt — mit ihm das Volk!
1506;;Reiner;Anna;;Amsterdam;1938;Querido-Verl.;+ Reiner, Anna: Manja. Amsterdam: Querido-Verl. 1938.;0;Amsterdam;1938;Querido-Verl.;True;Manja
1507;;Arkadij;Gurland;;Berlin;1931;Laub;Gurland, Arkadij: Das Heute der proletarischen Aktion. Berlin: Laub 1931.;51;Berlin;1931;Laub;False;Das Heute der proletarischen Aktion
1508;;Leo;Weismantel;;Freiburg;1935;Caritas-Verl.;Weismantel, Leo: Wie der Heilige Geist das deutsche Volk erwählte. Freiburg: Caritas-Verl. 1935.;159;Freiburg;1935;Caritas-Verl.;False;Wie der Heilige Geist das deutsche Volk erwählte
1509;;;;; Paris; 1911;Office central de librairie;Au rouge vif. Anecdotes intimes sur la flagellation. Paris: Office central de librairie 1911.;5; Paris; 1911;Office central de librairie;True;Au rouge vif. Anecdotes intimes sur la flagellation
1510;;Karl;Schwarzmann;;Köln;1935;Bachem;Schwarzmann, Karl: Falsche Propheten. Köln: Bachem 1935.;133;Köln;1935;Bachem;False;Falsche Propheten
1511;;Max René;Hesse;;Berlin;1933;Cassirer;Hesse, Max René: Morath schlägt sich durch. Berlin: Cassirer 1933.;58;Berlin;1933;Cassirer;False;Morath schlägt sich durch
1512;;;Schlagzu, Michel (Pseud.);;Berlin; 1932;Laub;Schlagzu, Michel (Pseud.): Deutschland erwacht. Berlin: Laub 1932.;128;Berlin; 1932;Laub;False;Deutschland erwacht
1513;;Heinrich;Hanselmann;;Zürich;1936;Rotapfel-Verl.;Hanselmann, Heinrich: Liebe und Ehe. Zürich: Rotapfel-Verl. 1936.;53;Zürich;1936;Rotapfel-Verl.;True;Liebe und Ehe
1514;;Friedrich;Muckermann;;Münster;1935;Regensberg;Muckermann, Friedrich: Heiliger Frühling. Münster: Regensberg 1935.;98;Münster;1935;Regensberg;False;Heiliger Frühling
1515;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Kurt Kaiser;Blueth s. Kaiser-Blüth;;;;;Blueth, Kurt Kaiser- s. Kaiser-Blüth.;2;;;;False;
1516;;Roman;Gul;;Berlin;1935;Obelisk-Verl.;Gul, Roman: Die roten Marschälle. Berlin: Obelisk-Verl. 1935.;51;Berlin;1935;Obelisk-Verl.;False;Die roten Marschälle
1517;;;Glaukos;;Leipzig; 1915;Spohr;Glaukos: Ein Traum von Hellas' Gestaden. Leipzig: Spohr 1915.;47;Leipzig; 1915;Spohr;False;Ein Traum von Hellas' Gestaden
1518;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Fritz ;s. Schwarz [Verf.];;;;;Denkschrift über die Finanzierung der Mobilisation unter Vermeidung einer Inflation s. Schwarz, Fritz [Verf.];4;;;;False;Denkschrift über die Finanzierung der Mobilisation unter Vermeidung einer Inflation
1519;;Hans;Burger;;Moskau;1936;Verlagsgen. ausländ. Arbeiter;Burger, Hans: Hitler, Hunger, Krieg. Moskau: Verlagsgen. ausländ. Arbeiter 1936.;20;Moskau;1936;Verlagsgen. ausländ. Arbeiter;True;Hitler, Hunger, Krieg
1520;;Emil;Felden;;Bremen;1926;Friesen-Verl.;Felden, Emil: Eines Menschen Weg. Bremen: Friesen-Verl. 1926.;36;Bremen;1926;Friesen-Verl.;False;Eines Menschen Weg
1521;;;;; London; 1938;Malik-Verl.;Eroberung, Die ~ des Nordpols. London: Malik-Verl. 1938.;33; London; 1938;Malik-Verl.;True;Eroberung, Die ~ des Nordpols
1522;;P.;Lang;;Moskau;1936;Verlagsgen. ausländ. Arbeiter;Lang, P.: Die Front des Friedens gegen die Front des Krieges. Moskau: Verlagsgen. ausländ. Arbeiter 1936.;81;Moskau;1936;Verlagsgen. ausländ. Arbeiter;True;Die Front des Friedens gegen die Front des Krieges
1523;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Joseph;Kuckhoff;;Dülmen;1940;Laumann;Kuckhoff, Joseph: Wir gehen zum Vater. — Dülmen: Laumann (1940).;10;Dülmen;1940;Laumann;False;Wir gehen zum Vater.
1524;;Josef;Steiner-Jullien;;Berlin;1920;Vorwärts;Steiner-Jullien, Josef: Wilhelm Picard. Berlin: Vorwärts 1920.;142;Berlin;1920;Vorwärts;False;Wilhelm Picard
1525;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Carola;Henschke, geb. Neher;;;;;Henschke, Carola, geb. Neher, geb. 2. 11. 1905: sämtliche Schriften.;7;;;;True;sämtliche Schriften
1526;;M. I.;Kalinin;;Moskau;1937;Verlagsgen. ausländ. Arbeiter;Kalinin, M. I.: Was hat die Sowjetmacht den Werktätigen gegeben? Moskau: Verlagsgen. ausländ. Arbeiter 1937.;68;Moskau;1937;Verlagsgen. ausländ. Arbeiter;True;Was hat die Sowjetmacht den Werktätigen gegeben?
1527;;Marietta;Schaginian;;Moskau;1934;Verlagsgen. ausländ. Arbeiter;Schaginian, Marietta: Das Wasserkraftwerk. Moskau: Verlagsgen. ausländ. Arbeiter 1934.;126;Moskau;1934;Verlagsgen. ausländ. Arbeiter;True;Das Wasserkraftwerk
1528;;Klara;Ratzka;;Stuttgart;1926;Dt. Verlagsanst.;Ratzka, Klara: Urte Kalwis. Stuttgart: Dt. Verlagsanst. 1926.;114;Stuttgart;1926;Dt. Verlagsanst.;False;Urte Kalwis
1529;;Kurt;Tucholski;;;;;Tucholski, Kurt: Sämtliche Schriften.;150;;;;False;Sämtliche Schriften
1530;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Elga;Kern;;;;;Kern, Elga: sämtliche Schriften.;11;;;;True;sämtliche Schriften
1531;;;;; Zürich; 1918;Rascher;Gedichte, Menschliche ~ im Krieg. Ausgew. von René Schickele. Zürich: Rascher 1918.;44; Zürich; 1918;Rascher;True;Gedichte, Menschliche ~ im Krieg. Ausgew. von René Schickele
1532;;;;; Berlin; 1930;Betrieb u. Gewerkschaft;Notverordnung — Hungerverordnung. Berlin: Betrieb u. Gewerkschaft 1930.;104; Berlin; 1930;Betrieb u. Gewerkschaft;False;Notverordnung — Hungerverordnung
1533;;Kurt;Eisner;;;;;Eisner, Kurt: Sämtliche Schriften.;30;;;;False;Sämtliche Schriften
1534;;Ernst;Thaelmann;;;;;Thaelmann, Ernst: Sämtliche Schriften.;147;;;;False;Sämtliche Schriften
1535;;Korla Aug.;Fiedlers;;Bautzen;1927;Schmaler;Fiedlers, Korla Aug.: Towarsny Spewnik za serbski lud [Vereinsliederbuch für das wendische Volk]. Bautzen: Schmaler 1927.;37;Bautzen;1927;Schmaler;False;Towarsny Spewnik za serbski lud [Vereinsliederbuch für das wendische Volk]
1536;;Louis;Dupré d'Aulnay;;München;1921;Georg Müller;Dupré d'Aulnay, Louis: Die Abenteuer des falschen Chevalier von Warwick. München: Georg Müller 1921.;28;München;1921;Georg Müller;False;Die Abenteuer des falschen Chevalier von Warwick
1537;;;Rossen;;Stuttgart; 1922;Elsner;Rossen: Die Verhütung der Schwangerschaft. Stuttgart: Elsner 1922.;122;Stuttgart; 1922;Elsner;False;Die Verhütung der Schwangerschaft
1538;;Emil;Rosenow;;Berlin;1905;Vorwärts;Rosenow, Emil: Wider die Pfaffenherrschaft. Berlin: Vorwärts 1905.;122;Berlin;1905;Vorwärts;False;Wider die Pfaffenherrschaft
1539;;Ellegaard;Ellerbek;;Pforzheim;1929;Reichstein;Ellerbek, Ellegaard: Der Herr des Lebens. Pforzheim: Reichstein 1929.;31;Pforzheim;1929;Reichstein;False;Der Herr des Lebens
1540;;Fritz;Naphtali;;Berlin;1928;Dietz;Naphtali, Fritz: Konjunktur, Arbeiterklasse u. sozialistische Wirtschaftspolitik. Berlin: Dietz 1928.;101;Berlin;1928;Dietz;False;Konjunktur, Arbeiterklasse u. sozialistische Wirtschaftspolitik
1541;;René;Fueloep-Miller;;Wien;1927;Amalthea-Verl.;Fueloep-Miller, René: Lenin und Gandhi. Wien: Amalthea-Verl. 1927.;42;Wien;1927;Amalthea-Verl.;False;Lenin und Gandhi
1542;;Carl;Willing;;Berlin;1906;Georgi;Willing, Carl: Die Mannstollheit. Berlin: Georgi 1906.;162;Berlin;1906;Georgi;False;Die Mannstollheit
1543;;Julius;Hay;;Moskau;1938;Verlagsgen. ausländ. Arbeiter;Hay, Julius: Haben. Moskau: Verlagsgen. ausländ. Arbeiter 1938.;54;Moskau;1938;Verlagsgen. ausländ. Arbeiter;True;Haben
1544;;Johannes Robert;Becher;;;;;Becher, Johannes Robert: Sämtliche Schriften.;8;;;;False;Sämtliche Schriften
1545;;;;; Moskau; 1934;Verlagsgen. ausländ. Arbeiter;Kirow, Sergej ~, der Kämpfer und Führer. Moskau: Verlagsgen. ausländ. Arbeiter 1934.;72; Moskau; 1934;Verlagsgen. ausländ. Arbeiter;True;Kirow, Sergej ~, der Kämpfer und Führer
1546;;Vladimir;Zmeškal;;Bautzen;1933;Nákl. kola lužických spisovatelu;Zmeškal, Vladimir: Čeští básníci lužici [Tschechische Dichter der Lausitz]. Bautzen: Nákl. kola lužických spisovatelu 1933.;168;Bautzen;1933;Nákl. kola lužických spisovatelu;False;Čeští básníci lužici [Tschechische Dichter der Lausitz]
1547;;Hellmut;Draws-Tychsen;;Pillkallen;1936;Boettcher;Draws-Tychsen, Hellmut: Westpreussische Originale. Pillkallen: Boettcher 1936.;27;Pillkallen;1936;Boettcher;False;Westpreussische Originale
1548;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;Karl;Prieser;;Nürnberg;1938; Amt f. Volksmission;Prieser, Karl: Wer ist Jesus? 5 biblische Vorträge. — Nürnberg: Amt f. Volksmission 1938.;9;Nürnberg;1938; Amt f. Volksmission;False;Wer ist Jesus? 5 biblische Vorträge
1549;;Ernst Viktor;Zenker;;Berlin;1899/1903;Reimer;Zenker, Ernst Viktor: Die Gesellschaft. Berlin: Reimer 1899/1903.;167;Berlin;1899/1903;Reimer;False;Die Gesellschaft
1550;;Paul A.;Robert;;Paris;1934;Europ. Merkur;Robert, Paul A.: Der missbrauchte Mensch. Paris: Europ. Merkur 1934.;120;Paris;1934;Europ. Merkur;True;Der missbrauchte Mensch
